shop,menu,format,base,milk,liquid,flavor,toppings,tops
Teado Tea Shop,Wheat Germ Black Tea,black tea,tea,0,0,undefined,wheat,other
Dragon Tea,Passion Fruit Jasmine Green Tea w/Three Toppings,green tea,tea,0,passion fruit,fruit,undefined toppings,other
ViVi Bubble Tea,Tiramisu Slush,slush,slush,0,tiramisu,other,tiramisu,other
M Tea,"Milk Tea w. Herbal Jelly,Pudding & Taro Ball",tea,tea,1,Milk,milk,"taro,pudding,herbal jelly",jelly
Bubbly Tea,Creamy Foam QQ Taro,drink,drink,0,0,undefined,"taro,cream foam",taro
Xing Fu Tang,Taro Boba Milk,milk,milk,1,taro,taro,taro tapioca ball,taro
Truedan,Jasmine Latte With Taro Balls and Sesame Cream,green tea,milk,1,milk,milk,"taro balls,sesame cream",taro
Truedan,Taro Milk with Taro Balls,tea,tea,1,taro,taro,taro balls,taro
Dragon Tea,Taro Ball Milk Tea,tea,tea,1,0,milk,taro,taro
M Tea,Fresh Ube Milk w. Taro Ball,milk,milk,1,0,milk,taro,taro
Machi Machi,Black Milk Tea with Mini Taro Balls,black tea,tea,1,0,milk,taro,taro
The Alley,Coconut Milk with Taro,milk,milk,1,coconut,fruit,taro,taro
Truedan,Honey Milk with Taro Balls,tea,tea,1,honey milk,honey,taro,taro
Ten Ren's Tea Time,Taro Shredded Ice,shredded ice,other,0,taro,taro,taro,taro
Boba Fries,Taro Shake,shake,other,0,taro,taro,taro,taro
Kung Fu Tea,Taro Milk/Milk Green Tea,green tea,tea,1,taro,taro,taro,taro
Teado Tea Shop,Taro Green Tea,green tea,tea,0,taro,taro,taro,taro
M Tea,Fresh Taro Milk w. Taro Ball,milk,milk,1,taro,taro,taro,taro
Coco Fresh Tea & Juice,Red Bean Tapioca Milk,milk,milk,1,0,milk,"tapioca,red bean",tapioca ball
Coco Fresh Tea & Juice,Red Bean Tapioca Milk,milk,milk,1,0,milk,"tapioca,red bean",red bean
Coco Fresh Tea & Juice,Grass Jelly Tapioca Milk,milk,milk,1,0,milk,"tapioca,grass jelly",tapioca ball
Coco Fresh Tea & Juice,Grass Jelly Tapioca Milk,milk,milk,1,0,milk,"tapioca,grass jelly",jelly
Truedan,Brown Sugar Milk with Pudding&Bubble,tea,tea,1,brown sugar,brown sugar,"tapioca,pudding",tapioca ball
Truedan,Brown Sugar Milk with Pudding&Bubble,tea,tea,1,brown sugar,brown sugar,"tapioca,pudding",other
Bubbly Tea,Oreo Tapioca Milk Green Tea,green tea,tea,1,0,milk,"tapioca,oreo",tapioca ball
Bubbly Tea,Oreo Tapioca Milk Green Tea,green tea,tea,1,0,milk,"tapioca,oreo",other
Trutea,Sweet Taro & Purple Potato Dirty Bubble Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",tapioca ball
Trutea,Sweet Taro & Purple Potato Dirty Bubble Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",taro
Trutea,Sweet Taro & Purple Potato Dirty Bubble Fresh Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",taro
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,Milk,milk,"tapioca ball,taro",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,Milk,milk,"tapioca ball,taro",other
BIAO Sugar,Ube Brown Sugar Boba Milk w. Pudding,milk,milk,1,brown sugar,brown sugar,"tapioca ball,pudding",tapioca ball
BIAO Sugar,Oreo Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,"tapioca ball,oreo",tapioca ball
BIAO Sugar,Oreo Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,"tapioca ball,oreo",other
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",cream
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",jelly
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",jelly
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",cream
YanYan Tea,"Grass Jelly,Pudding,& Boba Milk Tea",tea,tea,1,0,milk,"tapioca ball,grass jelly,pudding",tapioca ball
YanYan Tea,"Grass Jelly,Pudding,& Boba Milk Tea",tea,tea,1,0,milk,"tapioca ball,grass jelly,pudding",jelly
M Tea,Brulee Bubble Tea,tea,tea,0,0,undefined,"tapioca ball,crème brulee",cream
M Tea,Brulee Bubble Tea,tea,tea,0,0,undefined,"tapioca ball,crème brulee",tapioca ball
Tiger Sugar,Brown Sugar Coffee Latte with Pearl & Cream Mousse,coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,Pearl & Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,& Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Black Tea Latte with Boba & Cream Mousse,Black tea,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Chocalate Malt with Boba & Cream Mousse,drink,drink,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Coffee Latte with Pearl & Cream Mousse,coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,Pearl & Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,& Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,Brown Sugar Black Tea Latte with Boba & Cream Mousse,Black tea,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,Brown Sugar Chocalate Malt with Boba & Cream Mousse,drink,drink,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
M Tea,Taro Bubble Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",tapioca ball
M Tea,Taro Bubble Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",taro
Truedan,Passion Fruit Green Tea with Bubble&Coconut Jelly,green tea,tea,0,passion fruit,fruit,"tapioca ball,jelly",tapioca ball
Tiger Sugar,Brown Sugar Milk with Pearl & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl and Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,Brown Sugar Milk with Boba & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,Brown Sugar Green Tea Latte with Boba & Cream Mousse,green tea,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Truedan,Passion Fruit Green Tea with Bubble&Coconut Jelly,green tea,tea,0,passion fruit,fruit,"tapioca ball,jelly",jelly
Tiger Sugar,Brown Sugar Milk with Pearl & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl and Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,Brown Sugar Milk with Boba & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,Brown Sugar Green Tea Latte with Boba & Cream Mousse,green tea,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",tapioca ball
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",other
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",jelly
PaTea,Yellow Babo Milk,milk,milk,1,0,milk,tapioca ball,tapioca ball
YanYan Tea,Xiaofang Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Shiny Tea,White Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
ViVi Bubble Tea,Vivi Bubble Milk Tea (Black/Green),"black tea,green tea",tea,1,0,milk,tapioca ball,tapioca ball
Bubbly Tea,Signature Tapioca Milk Green Tea,green tea,tea,1,0,milk,tapioca ball,tapioca ball
Bubbly Tea,Signature Tapioca Milk Black Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Signature Bubble Tea,tea,tea,0,0,milk,tapioca ball,tapioca ball
Alimama,Signature Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Alimama,Royal Milk Tea with Mini Boba,tea,tea,1,0,milk,tapioca ball,tapioca ball
Gong Cha,Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Mr. Wish,Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Shiny Tea,Panda (Mix Pearl Milk Tea),tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Latte,chocolate,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Black Tea Latte,black tea,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
Tiger Sugar,Golden Oolong Tea with Boba,Oolong tea,tea,0,0,undefined,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Golden Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Moge Tee,DaHongPao Bubble Milk Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Black Tea Latte,black tea,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
Alimama,Cold Brew Milk Tea with Mini Boba,tea,tea,1,0,milk,tapioca ball,tapioca ball
Mi Tea,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Dragon Tea,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Bubble Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Teado Tea Shop,Bubble Coffee,coffee,milk,0,0,undefined,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Bubble Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
BIAO Sugar,Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Boba Fries,Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Machi Machi,Black Milk Bubble Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,2 Ladies Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Ten Ren's Tea Time,Red Apple Tapioca Fruit Tea,tea,tea,0,apple,fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Green Apple Tapioca Fruit Tea,tea,tea,0,apple,fruit,tapioca ball,tapioca ball
Bubbly Tea,Green Apple Bubbly,juice,juice,0,apple,fruit,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Brown Sugar Pearl Oolong Tea Latte,oolong tea,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Brown Sugar Pearl Matcha Latte,matcha,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Brown Sugar Pearl Latte,coffee,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Brown Sugar Pearl Coco Latte,coffee,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Brown Sugar Pearl Black Tea Latte,black tea,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Xing Fu Tang,Gold Foil Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Brown Sugar Pearl Oolong Tea Latte,Oolong tea,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Brown Sugar Pearl Matcha Latte,matcha,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Brown Sugar Pearl Latte,undefined,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Brown Sugar Pearl Coco Latte,undefined,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Brown Sugar Pearl Black Tea Latte,undefined,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Teazzi Tea Shop,Brown Sugar Tapioca Latte,undefined,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Chun Yang Tea Chinatown,Brown Sugar Pearl with Fresh Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Tea Magic,Brown Sugar Matcha Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
OJBK Tea Shop,Brown Sugar Latte with Bubbles,undefined,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Tiger Sugar,Brown Sugar Green Tea with Boba,green tea,tea,0,brown sugar,brown sugar,tapioca ball,tapioca ball
Trutea,Brown Sugar Dirty Bubble Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Trutea,Brown Sugar Dirty Bubble Fresh Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Dragon Tea,Brown Sugar Coffe Latte w/Bubbles,coffee,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Mi Tea,Brown Sugar Bubble with Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Moge Tee,Brown Sugar Bubble Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Dragon Tea,Brown Sugar Bubble Fresh Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
M Tea,Brown Sugar Bobo Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
M Tea,Brown Sugar Bobo Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
M Tea,Brown Sugar Bobo Foam Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Xing Fu Tang,Brown Sugar Boba Soft Serve,ice cream,other,0,brown sugar,brown sugar,tapioca ball,tapioca ball
BIAO Sugar,Brown Sugar Boba Smoothie with Herbal Jelly,smoothie,smoothie,0,brown sugar,brown sugar,tapioca ball,tapioca ball
Shiny Tea,Brown Sugar Boba Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Xing Fu Tang,Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Tiger Sugar,Brown Sugar Black Tea Latte with Cream Mousse,black tea,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Tiger Sugar,Brown Sugar Black Milk Tea with Boba,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Shiny Tea,Boba Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
BIAO Sugar,Biao Brown Sugar Boba Milk w. Milk Foam,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
BIAO Sugar,BIAO Brown Sugar Boba Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
BIAO Sugar,Biao Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Xing Fu Tang,Brown Sugar Boba Milk Tea,tea,tea,1,brown sugar,brown sugar,tapioca ball,tapioca ball
Song Tea,Caramel Brown Sugar Dirty with Pearl,drink,drink,0,brown sugar,brown sugar,tapioca ball,tapioca ball
Kung Fu Tea,Brown Sugar Ginger,drink,drink,0,brown sugar,brown sugar,tapioca ball,tapioca ball
Xing Fu Tang,Dalgona Coffee Boba Milk,milk,milk,1,coffee,coffee,tapioca ball,tapioca ball
Ten Ren's Tea Time,Star Fruit Tapioca Fruit Tea,tea,tea,0,fruit,fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Peppermint Tapioca Fruit Tea,tea,tea,0,fruit,fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Passion Fruit Tapioca Fruit Tea,tea,tea,0,fruit,fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Honey Tapioca Fruit Tea,tea,tea,0,fruit,fruit,tapioca ball,tapioca ball
The Alley,Grape Slush (w. Boba),slush,slush,0,grape,fruit,tapioca ball,tapioca ball
Mi Tea,Honeydew Bubble Milk Tea,tea,tea,1,honey,honey,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Jasmine Milk Tea,jasmine tea,tea,1,Milk,milk,tapioca ball,tapioca ball
Gong Cha,Lemon Ai-yu White Pearl,juice,juice,0,lemon,fruit,tapioca ball,tapioca ball
Mr. Wish,Apple and Lemon Babo,juice,juice,0,"lemon,apple",fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Mango Tapioca Fruit Tea,tea,tea,0,mango,fruit,tapioca ball,tapioca ball
Moge Tee,Mango Bubble Milk,tea,tea,1,mango,fruit,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Matcha Latte,matcha,milk,1,matcha,matcha,tapioca ball,tapioca ball
Xing Fu Tang,Matcha Strawberry Boba Milk,milk,milk,1,"matcha,strawberry",matcha,tapioca ball,tapioca ball
Mr. Wish,Mango and Passion Fruit Babo,juice,juice,0,"passion fruit,mango",fruit,tapioca ball,tapioca ball
Mr. Wish,Peach and Mango Babo,juice,juice,0,"peach,mango",fruit,tapioca ball,tapioca ball
Debutea,Strawberry Bobo,juice,juice,0,strawberry,fruit,tapioca ball,tapioca ball
Mi Tea,Taro Milk Bubble Tea,tea,tea,1,taro,taro,tapioca ball,tapioca ball
Moge Tee,Taro Bubble Milk Tea,tea,tea,1,taro,taro,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Thai Bubble Tea,thai tea,tea,0,0,milk,tapioca ball,tapioca ball
Moge Tee,Rose Bubble Milk Tea,tea,tea,1,rose,flower,tapioca ball,tapioca ball
Moge Tee,Purple Yam Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
BIAO Sugar,Phoenix Oolong Tea w. Boba,Oolong tea,tea,0,0,undefined,tapioca ball,tapioca ball
Moge Tee,Hawaii Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Boba Fries,Dirty Boba Milk,milk,milk,1,chocolate,chocolate,tapioca ball,tapioca ball
Dragon Tea,Dark Chocolate Milk w/Bubbles,milk,milk,1,chocolate,chocolate,tapioca ball,tapioca ball
Teado Tea Shop,Bubble Tea,tea,tea,0,0,milk,tapioca ball,tapioca ball
M Tea,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Moge Tee,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Bubble Green Milk Tea,green tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Bubble Gaga,drink,drink,0,0,undefined,tapioca ball,tapioca ball
YanYan Tea,Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Ten Ren's Tea Time,Lemon Tapioca Fruit Tea,tea,tea,0,lemon,fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Kumquat Lemon Tapioca Fruit Tea,tea,tea,0,"lemon,fruit,kumquat",fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Lychee Tapioca Fruit Tea,tea,tea,0,lychee,fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Orange Tapioca Fruit Tea,tea,tea,0,orange,fruit,tapioca,tapioca ball
Mr. Wish,Lychee and Passion Fruit Babo,drink,drink,0,"passion fruit,lychee",fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Peach Tapioca Fruit Tea,tea,tea,0,peach,fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Plum Tapioca Fruit Tea,tea,tea,0,plum,fruit,tapioca,tapioca ball
Ten Ren's Tea Time,Strawberry Tapioca Fruit Tea,tea,tea,0,strawberry,fruit,tapioca,tapioca ball
Coco Fresh Tea & Juice,Tapioca Milk,milk,milk,1,0,milk,tapioca,tapioca ball
Tea Magic,Sesame Milk Tea,tea,tea,1,sesame,other,sesame,other
Kung Fu Tea,Sesame Matcha,matcha,other,0,sesame,other,sesame,other
Teado Tea Shop,Sesame Black Tea,black tea,tea,0,sesame,other,sesame,other
Ten Ren's Tea Time,Black Sesame Milk,milk,milk,1,sesame,other,sesame,other
Mr. Wish,Red Bean Pudding Milk Tea,tea,tea,1,0,milk,"red bean,pudding",red bean
Machi Machi,Shizuoka Matcha Milk Tea with Crème Brulee and Red Bean,tea,tea,1,matcha,matcha,"red bean,crème brulee",red bean
Song Tea,Matcha Red Bean Slush with Cheese Cap,slush,slush,0,matcha,matcha,"red bean,cheese foam",red bean
Song Tea,Red Bean Slush with Cheese Cap,slush,slush,0,red bean,other,"red bean,cheese cap",red bean
YanYan Tea,"Grass Jelly,Red Bean,& Nuts Milk Tea",tea,tea,1,0,milk,"red bean,grass jelly",red bean
Xing Fu Tang,Red Bean Milk,milk,milk,1,0,milk,red bean,red bean
ViVi Bubble Tea,Red Bean Matcha Milk Tea,tea,tea,1,matcha,matcha,red bean,red bean
Mr. Wish,Red Bean Matcha Milk,milk,milk,1,matcha,matcha,red bean,red bean
Coco Fresh Tea & Juice,Red Bean Matcha Latte,matcha,milk,1,matcha,matcha,red bean,red bean
M Tea,Matcha Red Bean Tea,tea,tea,0,matcha,matcha,red bean,red bean
Kung Fu Tea,Matcha Red Bean Slush,slush,slush,0,matcha,matcha,red bean,red bean
PaTea,Red Bean Smoothie,smoothie,smoothie,0,red bean,other,red bean,red bean
Tea Magic,Red Bean Smoothie,smoothie,smoothie,0,red bean,other,red bean,red bean
Kung Fu Tea,Red Bean Slush,slush,slush,0,red bean,other,red bean,red bean
Ten Ren's Tea Time,Red Bean Shredded Ice,shredded ice,other,0,red bean,other,red bean,red bean
M Tea,Red Bean Milk Tea,tea,tea,1,red bean,other,red bean,red bean
Moge Tee,Red Bean Milk Tea,tea,tea,1,red bean,other,red bean,red bean
Mr. Wish,Red Bean Milk Tea,tea,tea,1,red bean,other,red bean,red bean
Teazzi Tea Shop,Purple Rice & Red Bean latte,undefined,milk,1,red bean,other,red bean,red bean
Teazzi Tea Shop,Oats + Purple Rice & Red Bean Latte,undefined,milk,1,red bean,other,"red bean,oat",red bean
Boba Fries,Lychee Tea with Fresh Pulp,tea,tea,0,lychee,fruit,pulp,other
Mr. Wish,Lychee Tea with Fresh Pulp,tea,tea,0,lychee,fruit,pulp,other
Mr. Wish,Peach Tea with Fresh Pulp,tea,tea,0,peach,fruit,pulp,other
BIAO Sugar,Pudding Milk Tea,tea,tea,1,0,milk,pudding,other
Bubbly Tea,Pudding Milk Black Tea,black tea,tea,1,0,milk,pudding,other
Mr. Wish,Cocoa Pudding Milk,milk,milk,1,cocoa,chocolate,pudding,other
Song Tea,Take me to Paradise Coconut Pudding Milk Tea,tea,tea,1,coconut,fruit,pudding,other
Mi Tea,Coconut Milk with Mango Pudding,milk,milk,1,coconut,fruit,pudding,other
Chun Yang Tea Chinatown,Oolong Fresh Milk with Pudding,Oolong tea,tea,1,oolong tea,milk,pudding,other
Shiny Tea,Pudding Oolong Milk Tea,Oolong tea,tea,1,0,milk,pudding,other
Mr. Wish,Pudding Milk Tea,tea,tea,1,0,milk,pudding,other
Truedan,Lei Cha Latte with Poprice and Sesame Cream,undefined,milk,1,sesame,other,"poprice,sesame cream",other
Teado Tea Shop,Peanut Black Tea,black tea,tea,0,peanut,other,peanut,other
Machi Machi,Black Milk Tea with Panna Cotta,black tea,tea,1,0,milk,panna cotta,other
Machi Machi,Shizuoka Matcha Milk Tea with Panna Cotta,tea,tea,1,matcha,matcha,panna cotta,other
Machi Machi,Strawberry Latte with Panna Cotta,undefined,milk,1,strawberry,fruit,panna cotta,other
Bubbly Tea,Oreo Coco Latte,undefined,milk,1,cocoa,chocolate,oreo,other
Tea Magic,Oreo Smoothie,smoothie,smoothie,0,oreo,other,oreo,other
Kung Fu Tea,Oreo Slush,slush,slush,0,oreo,other,oreo,other
Mi Tea,Oreo Slush,slush,slush,0,oreo,other,oreo,other
ViVi Bubble Tea,Oreo Cookie Slush,slush,slush,0,oreo,other,oreo,other
Moge Tee,Oreo Milk Tea,tea,tea,1,oreo,other,oreo,other
PaTea,Oreo Milk Shake,milk,milk,1,oreo,other,oreo,other
Machi Machi,Jasmine Green Tea with Fresh Orange,green tea,tea,0,orange,fruit,orange,other
Bubbly Tea,Oat Flakes Milk Tea,tea,tea,1,0,milk,oat,other
Song Tea,You Have Great Taste Mochi Milk Tea,tea,tea,1,0,milk,mochi,other
Song Tea,Swamped By Work Caramel Brown Sugar Mochi Dirty,tea,tea,1,brown sugar,brown sugar,mochi,other
Teazzi Tea Shop,Brown Sugar Tapioca Latte w/Milk Foam,undefined,milk,1,brown sugar,brown sugar,"milk foam,tapioca ball",milk foam
BIAO Sugar,Honey Black Tea Latte w. Milk Foam and Roasted Pecan,"latte,black tea",tea,1,honey,honey,"milk foam,pecan",milk foam
Gong Cha,Milk Foam Black Coffee,coffee,milk,1,0,milk,milk foam,milk foam
Gong Cha,Black Milk Foam Tea,black tea,tea,1,0,milk,milk foam,milk foam
Kung Fu Tea,Honey Tea Cap (Black/Green/Oolong),black tea,tea,0,honey,honey,milk foam,milk foam
BIAO Sugar,Honey Black Tea w. Milk Foam,black tea,tea,1,honey,honey,milk foam,milk foam
BIAO Sugar,Matcha Jasmine Latte w. Milk Foam & Roasted Pecan,green tea,milk,1,Jasmine Green Tea,milk,milk foam,milk foam
