shop,menu,format,base,milk,liquid,flavor,toppings,tops
FIFTYLAN Washington Square Park,Hot Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Debutea,Hot Dancong Tea,tea,tea,0,0,undefined,0,unspecified
Boba Fries,Hojicha Tea,tea,tea,0,0,undefined,0,unspecified
Boba Fries,Hojicha Milk Tea,tea,tea,1,0,milk,0,unspecified
Boba Fries,Genmaicha Tea,tea,tea,0,0,undefined,0,unspecified
Boba Fries,Genmaicha Milk Tea,tea,tea,1,0,milk,0,unspecified
Coco Fresh Tea & Juice,Classic Milk Tea,tea,tea,1,0,milk,0,unspecified
Coco Fresh Tea & Juice,3 Guys Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
Bubbly Tea,Almond Milk Tea,tea,tea,1,almond,fruit,0,unspecified
Bubbly Tea,Chocolate Milk Tea,tea,tea,1,chocolate,chocolate,0,unspecified
Trutea,Earl Grey Black Tea,black tea,tea,0,earl grey,undefined,0,unspecified
ViVi Bubble Tea,Vivi Signature Fruit Tea,tea,tea,0,fruit,fruit,0,unspecified
Bubbly Tea,Rose Milk Tea,tea,tea,1,rose,flower,0,unspecified
Debutea,Soy Milk Tea,tea,tea,1,soy milk,other,0,unspecified
Tea and Milk,Vanilla Peppermint Milk Tea,tea,tea,1,"vanilla,peppermint",other,0,unspecified
Coco Fresh Tea & Juice,Vanilla Milk Tea,tea,tea,1,vanilla,other,0,unspecified
Ten Ren's Tea Time,Vanilla Chai Milk,milk,milk,1,vanilla,other,0,unspecified
The Alley,The Alley Trio Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
The Alley,The Alley Black Tea,black tea,tea,0,0,undefined,0,unspecified
The Alley,The Alley Assam Milk Tea,tea,tea,1,0,milk,0,unspecified
Debutea,Thai Tea,thai tea,tea,0,0,milk,0,unspecified
Boba Fries,Thai Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Mi Tea,Thai Milk Tea,tea,tea,1,0,milk,0,unspecified
Kung Fu Tea,Thai Milk Tea,thai tea,tea,1,0,milk,0,unspecified
Tea Magic,Thai Milk Tea,thai tea,tea,1,0,milk,0,unspecified
Ten Ren's Tea Time,Thai Milk Tea,thai tea,tea,1,0,milk,0,unspecified
ViVi Bubble Tea,Thai Milk Tea,thai tea,tea,1,0,milk,0,unspecified
Tea and Milk,Thai Iced Tea,tea,tea,0,0,milk,0,unspecified
Song Tea,Thai Iced Tea,thai tea,tea,0,0,milk,0,unspecified
Ten Ren's Tea Time,Tea Wu Tea,tea,tea,0,0,undefined,0,unspecified
Teazzi Tea Shop,Tea Latte,black tea,milk,1,0,milk,0,unspecified
Teado Tea Shop,Tea,tea,tea,0,0,undefined,0,unspecified
Song Tea,Take My Money! Mochi Milk Tea,tea,tea,1,0,milk,mochi,other
The Alley,Snow Velvet Peach Oolong Tea,Oolong tea,tea,0,peach,fruit,ice,unspecified
The Alley,Snow Velvet Grey Tea,earl grey tea,tea,0,0,undefined,undefined toppings,unspecified
The Alley,Royal 9 Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
Kung Fu Tea,Rosehip Milk Tea,tea,tea,1,rose,flower,0,unspecified
M Tea,Rose Oolong Tea Latte,oolong tea,milk,1,rose,flower,0,unspecified
Tea Magic,Rose Milk Tea,tea,tea,1,rose,flower,0,unspecified
